"Source:","C:\Users\mgurl\Documents\GitHub\Audio-DSP\KiCAD\Generic_Buck_Converter\Generic_Buck_Converter.kicad_sch"
"Date:","11/05/2023 11:53:13"
"Tool:","Eeschema 7.0.1"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","20"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet2","Datasheet3","Datasheet4","Order"
"1","8","C1, C2, C4, C7, C8, C9, C10, C11","10u","Device:C","Capacitor_SMD:C_1210_3225Metric","https://nl.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL32B106KBJNNNE?qs=349EhDEZ59rXK%2FOM74I5cg%3D%3D","","","","",""
"2","1","C3","2.2u","Device:C","Capacitor_SMD:C_0402_1005Metric","https://eu.mouser.com/ProductDetail/Murata-Electronics/GRM155Z71A225KE01D?qs=d0WKAl%252BL4Kaf7%252BbBwe1qxg%3D%3D","","","","",""
"3","1","C5","0.1u","Device:C","Capacitor_SMD:C_0402_1005Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GRM155R71H104KE14D?qs=sGAEpiMZZMvsSlwiRhF8qkiosXznb836lYH0b0rR9OM%3D","","","","",""
"4","1","C6","33n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://nl.mouser.com/ProductDetail/Murata-Electronics/GCM155R71E333KA55D?qs=pDxNbvYGEH41UMKAOj1GxA%3D%3D","","","","",""
"5","1","IC1","MAX17634C","Audio_DSP:MAX17634C","Audio-DSP:TQFN-20-1EP_4x4mm_P0.5mm_EP2.9x2.9mm_ThermalVias_(JLCPCB_Compatible)","https://nl.farnell.com/analog-devices/max17634catp/dc-dc-conv-sync-buck-2-2mhz-125deg/dp/3269809?st=max17634c","","","","","https://nl.farnell.com/analog-devices/max17634catp/dc-dc-conv-sync-buck-2-2mhz-125deg/dp/3269809?st=max17634c"
"6","1","J1","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~","","","","",""
"7","1","L1","X","Device:L","Inductor_SMD:L_Coilcraft_XAL6060-XXX","https://nl.farnell.com/coilcraft/xal6060-472mec/inductor-4-7uh-11a-20-pwr-21mhz/dp/2289085?ost=2289085","","https://nl.farnell.com/coilcraft/xal6060-682mec/inductor-6-8uh-9a-20-pwr-18mhz/dp/2289087?ost=2289087","https://nl.farnell.com/coilcraft/xal6060-103mec/inductor-10uh-7a-20-pwr-14mhz/dp/2289091?ost=2289091","https://nl.farnell.com/coilcraft/xal6060-153mec/inductor-15uh-6a-20-pwr-11mhz/dp/2289092?ost=2289092",""
"8","2","R1, R2","X","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW040222K0FKEDC?qs=E3Y5ESvWgWM0%2Fbke%2FvpHTg%3D%3D","","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW040215K0FKED?qs=QPqDnsKvzKcgNzJF1YM3gA%3D%3D","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW040222K0FKEDC?qs=E3Y5ESvWgWM0%2Fbke%2FvpHTg%3D%3D","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW040230K0FKEDC?qs=E3Y5ESvWgWNf6hpNPiPLHA%3D%3D",""
"9","1","R3","20k","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Panasonic/ERJ-2RKF2002X?qs=H7k1u0Mp9JTOxRcN%252B6dzQw%3D%3D","","","","",""
"10","1","R4","3M3","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW04023M30FKEDC?qs=E3Y5ESvWgWOo6fd7ydr7cw%3D%3D","","","","",""
"11","1","R5","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW040210K0FKEDC?qs=E3Y5ESvWgWPiNLcGzwCGPg%3D%3D","","","","",""
"12","1","R6","220k","Device:R","Resistor_SMD:R_0402_1005Metric","https://nl.mouser.com/ProductDetail/Vishay-Dale/CRCW0402220KFKEDC?qs=E3Y5ESvWgWPROPxHdQlAsQ%3D%3D","","","","",""
